,name,time,tweet
0,#ABDULRAHEEM #A #OLA,2019-11-19 16:12:24, Godswill Akpabio should forget about the rerun election and concentrate on his Ministerial duty. If only… 
1,Akila Matawal,2019-11-19 11:31:02," ( ) Vs  now Thursday November 21  Nest of Champions, Godswill Akpabio Int… "
2,Olalekan Olawole,2019-11-19 09:09:44,_melaye Yoi don't know the meaning of civil war!  Abeg go sot down for one coner joor!  You and GodsWill Akpab… 
3,Maxwell Nwadike,2019-11-19 09:08:38,_melaye We thought you preferred Abuja street with Sen.Godswill Akpabio than the red chamber
4,DAYLIGHT,2019-11-19 06:03:59,Opinion: NDDC: Why Godswill Akpabio cannot be a judge in his own case – By ANDREW OSSAI EKE 
5,Bolaji Aladie,2019-11-19 00:25:36,"_melaye welcome to retirement club, when are you meeting godswill_akpabio at the streets of Abuja? "
6,Edosa Makau,2019-11-18 15:57:07,_melaye What this means is that you will surely be meeting Sen. Godswill Akpabio on the streets of Abuja like… 
7,iAmSammie,2019-11-18 14:32:09,1 50088843   Godswill Akpabio with all he did as governor for Akwa Ibom peop… 
8,DJ Five0s🇳🇬,2019-11-18 13:47:07,"Sunny day out @ Godswill Akpabio International Stadium, Uyo "
9,Suleiman Kolomi 🇳🇬,2019-11-18 13:38:39,"""Sen. Godswill Akpabio we'll definitely meet on the street of Abuja""

SDM"
10,Prince Marshal II,2019-11-18 13:34:42,"I have never seen a city that believes so much in politics, government and godfatherism like uyo. 

In this city we… "
11,enobong ituen,2019-11-18 13:04:12,"HE Godswill Obot Akpabio ,Minister of Niger Delta arrives Uyo from Port Harcourt during the weekends for an officia… "
12,Ajuwonlo,2019-11-18 11:43:28,_melaye I remembered the time senator Dino melaye mocked senator Godswill Akpabio.. This is true definition of karma
13,Sam Ejike-Igwe,2019-11-18 11:38:02, May the mockery on Sen. Godswill Akpabio hunt you to state of total confusion. Welcome back home Dino Melaye.
14,Dodoh Okafor,2019-11-18 11:15:15,Godswill Akpabio’s Uncommon Dilemma 
15,Real Buhari's In-law™®,2019-11-18 10:59:46,"Godswill Akpabio is now a Minister and a Senator in waiting, he'll definitely be seen in the streets of Abuja, in b… "
16,Brief,2019-11-18 09:39:12,It is clearly not God's will for Godswill Akpabio to be a Minister - Vanguard 
17,Alhaji Aminu Ibrahim Esq,2019-11-18 09:34:48,The way and manner Dino Melaye bulled Godswill Akpabio at the floor of the red chambers so shall he be humiliated b… 
18,Vanguard Newspapers,2019-11-18 08:36:03,NDDC: It is clearly not God’s will for Godswill Akpabio to be a Minister 
19,⬜⬛◾▪ •PLATOON NEWS• ▪◾⬛⬜,2019-11-18 08:34:52,NDDC: Why Godswill Akpabio cannot be a judge in his own case 
20,⬜⬛◾▪ •PLATOON NEWS• ▪◾⬛⬜,2019-11-18 08:34:51,NDDC: It is clearly not God’s will for Godswill Akpabio to be a Minister 
21,MyOwnGist,2019-11-18 08:34:50,NDDC: Why Godswill Akpabio cannot be a judge in his own case 
22,MyOwnGist,2019-11-18 08:34:50,NDDC: It is clearly not God’s will for Godswill Akpabio to be a Minister 
23,Okaula K' Ohimini,2019-11-18 08:32:09,"Dino should Go and compose a song and mock Senator Godswill Akpabio.  
Don't always laugh at the tem… "
24,Nigeria Newspapers,2019-11-18 08:24:50,Live Updates: NDDC: Why Godswill Akpabio cannot be a judge in his own case 
25,Nigeria Newspapers🔵,2019-11-18 08:13:17,"""Why Godswill Akpabio cannot be a judge in his own case"" "
26,Nigeria Newspapers🔵,2019-11-18 08:13:15,"""It is clearly not God’s will for Godswill Akpabio to be a Minister"" "
27,Naija News Agency,2019-11-18 08:09:08,Why Godswill Akpabio cannot be a judge in his own case 
28,Vanguard Newspapers,2019-11-18 08:07:05,Why Godswill Akpabio cannot be a judge in his own case 
29,#Val,2019-11-18 07:26:58,"Comot for road, Godswill Obot Akpabio wan pass. As member of the PDP crime machine, he was given a state to manage,… "
30,Sogbeye Eli,2019-11-17 22:20:52," _melaye, at last your prophecy at the 8th Senate valedictory session is fulfilled to the fullest. Y… "
31,Adegboro Adeniyi,2019-11-17 22:00:58,  _JAGs   Now thesame Godswill Akpabio has every tendency of coming… 
32,Chamzy Bako,2019-11-17 21:52:07,KARMA IS SO INEVITABLE;  SEN GODSWILL AKPABIO MAY LIKELY RETURN TO THE 9TH SENATE WHILE DINO MELAYE WILL GO BACK TO… 
33,Enyene Akpan,2019-11-17 20:59:56,"Dino Malaye telling how many Local Governments he has lost to Godswill Akpabio. 😊
kogistate kogidecide2019 "
34,Enyene Akpan,2019-11-17 20:35:41,"Dino Malaye telling how many Local Governments he has lost to Godswill Akpabio. 😊
Kogi kogidecide2019 "
35,Obiosa D.Godfrey,2019-11-17 20:24:45," Hahaha, bros stop crying, Godswill Akpabio is waiting for you."
36,thony_Yhl ⚓️ and 99 Others,2019-11-17 20:01:03,SO YOU MIEN DINO MELAYE IS ABOUT TO ROAM THE STREETS OF ABUJA LOOKING FOR GODSWILL AKPABIO...🙉… 
37,Abusadeeq,2019-11-17 19:13:35,"_ELRUFAI Godswill Akpabio be singing to Dino if you see me drive by, holla at your boy on the streets of Abuja."
38,Asiwaju Babatunde Badmus(Babatunde Olamide),2019-11-17 18:38:56,"This was _Melaye making a mocking valedictory speech for Godswill Akpabio. 

God is Great
He is the master of… "
39,Lami Alhaji Kaumi,2019-11-17 18:07:41,"I remember when Dino Melaye was mocking Sen,Godswill Akpabio 

Says..Bye Bye my friend Akpabio we shall meet in str… "
40,Taiwo Ogunye,2019-11-17 16:58:03,"So, _melaye, you have become a ""retired Senator"" too, just like Godswill Akpabio you ridiculed &amp; vilified.
 
O… "
41,"Ibrahim, Shehu 🎋agara (MHR)",2019-11-17 16:36:18,"Dino Melaye to Godswill Akpabio months back... 
This life🤔!

_melaye 
_Akpabio "
42,Self boss,2019-11-17 16:17:46,"I thought you gonna give me some facts,  but you turned it to bant! Okay! Your real geniuses are Abba Kyari, Solomo… "
43,FRESH ANGLE NIG LTD,2019-11-17 13:57:59,"Chibuike Amaechi, Timipre Sylva, Ovie Omo - Agege, Godswill Akpabio ( All former PDP members) Where are the foundin… "
44,C4PT4IN❕,2019-11-17 13:14:05,Godswill Akpabio will be somewhere waiting for Dino Melaye election results.
45,Sulaiman,2019-11-17 12:38:37, I remembered the time senator Dino melaye mocked senator Godswill Akpabio.. This is true definition of karma
46,Official Jack!,2019-11-17 09:22:27,Godswill Akpabio  while waiting for INEC declaration on Kogi West and recalling how outgoing Senator… 
47,Ata Ikiddeh,2019-11-16 23:10:36,"Akpabio Day 87

THE LAST FEW MONTHS HAVE BEEN THE BEST SEASON OF MY POLITICAL LIFE AND I CAN SEE GOD’S UNMISTAKABLE… "
48,Prof Essien,2019-11-16 23:05:17," 1 A very poor assessment of the picture.
Godswill akpabio is a very generous man who l… "
49,Ata Ikiddeh,2019-11-16 22:53:09,"Akpabio Day 87

THE LAST FEW MONTHS HAVE BEEN THE BEST SEASON OF MY POLITICAL LIFE AND I CAN SEE GOD’S UNMISTAKABLE… "
50,Abia Warriors FC,2019-11-16 14:29:38,"Scenes from our Match aganist _fc   at the Godswill Akpabio stadium, Uyo

FT- AKWA UNITED 0 Vs 0 ABIA WA… "
51,solarababa media,2019-11-16 13:58:08,"On Wednesday, Nigeria hosted the Squirrels of Benin Republic in the African Cup of Nations Qualifiers AFCON at the… "
52,Savn Daniel,2019-11-16 05:08:40,Senator Godswill Akpabio has said he will not stand in the rescheduled Akwa Ibom Northwest Senatorial District elec… 
53,Ishmael Rex,2019-11-16 03:00:42,_melaye Senator Godswill Akpabio is in the street of Abuja monitoring the outcome of the election. Don't be afraid.
54,Gambilo,2019-11-15 22:41:28,"""What money cannot do, more money will do.""

Godswill Akpabio"
55,Filius Hominis 😇,2019-11-15 19:46:43, Yea some ND states gave those stipends to Law School students. I know specifically about Aks under Godswil… 
56,Dodoh Okafor,2019-11-15 18:26:59,Godswill Akpabio’s Uncommon Dilemma 
57,Kent,2019-11-15 18:15:52,"Captured this at the Godswill Akpabio stadium in Uyo some days ago.
Shot with my  Spark 4
LightUp… "
58,Bello Ezekiel Adeyemi,2019-11-15 17:24:36,"Godswill Akpabio says he will not stand in rescheduled Akwa Ibom senatorial elections 

 
… "
59,Ayo Akinfe,2019-11-15 16:26:31,Godswill Akpabio says he will not stand in rescheduled Akwa Ibom senatorial elections 
60,Entertainmentf5,2019-11-15 15:55:03,[TheTrent] Appeal Court Judgment: Godswill Akpabio’s Spider Web Predicament [MUST READ] 
61,neyopumpn,2019-11-15 15:19:04,Appeal Court Judgment: Godswill Akpabio’s Spider Web Predicament [MUST READ] 
62,Dodoh Okafor,2019-11-15 12:53:29,Godswill Akpabio’s Uncommon Dilemma 
63,solarababa media,2019-11-15 12:35:41,"Niger Delta Affairs Minister, Senator Godswill Akpabio and his party, the All Progressives Congress (APC) have thre… "
64,Unyime Usanga,2019-11-15 10:32:39,"Live cheering our eagles @ Godswill Akpabio International Stadium, Uyo "
65,Salihu Umar,2019-11-15 10:16:25,"Yahya Bello is APC’s Godswill Akpabio today, no one shares money in the villa like GYB, something Akpabio did durin… "
66,Akin Emmanuel,2019-11-15 06:38:46,Appeal Court Judgment: Godswill Akpabio’s Spider Web Predicament [MUST READ] 
67,The Trent,2019-11-15 06:20:32,Appeal Court Judgment: Godswill Akpabio’s Spider Web Predicament [MUST READ] 
