,name,time,tweet
0,Ibrahim,11/13/2019 23:17,"Don’t worry beneficiaries we are still working on your stipend, u will soon receive your stipend. Thanks from Npower"
1,Becky,11/13/2019 23:02,Never in my 27 years have I been more disgusted in a company _ng   shambles of a company should be ashamed
2,Itz_BigFredDilly,11/13/2019 22:28,Why is N-Power still holding or delaying their beneficiaries their stipends till this date...?? That’s not fair at all. This is really nit goo
3,milano,11/13/2019 22:28,N-Power To advocate can come with mannerism
4,Yemi Franklin,11/13/2019 22:22,"Who then advocates for the N-Power beneficiaries?

Or, who should it be?"
5,Khalid,11/13/2019 21:45,i never wanted to say I'm dissapointed in N-Power delay of the payment of  October stipend…
6,"Gualo, Confidence",11/13/2019 21:29,"N-Power Pls what is happening to our October 2019 Stipend.

Why the long delay and zero motivation"
7,usman mohammed,11/13/2019 21:29,Yeah. .. we cannot work without this stipend
8,Com.Abdallah Iko-Ojo Ismail,11/13/2019 20:57,N-Power No more alawee
9,AbuAmor_AB,11/13/2019 20:18,N-Power acquired from the training center.
10,AbuAmor_AB,11/13/2019 20:18,letter of industrial attachment from N-Power ( like undergraduate IT / SIWES letter) is to enable us develop further the skills we have
11,AbuAmor_AB,11/13/2019 20:17,I am a beneficiary of the 19th Northern states Npower Tech Software program currently on. I want to plead with FG to give us our  stipends
12,malom alade femni,11/13/2019 19:42,"N-Power, How will I register ,
October  salary is not available and this is not good in anyway pls sir"
13,Ekun Peter,11/13/2019 19:32,"N-Power Please, what is responsible for the delay of our stipend?"
14,Kasim Suleiman,11/13/2019 19:14,"No stipend, Npower beneficiaries in dark, today is 13th of November, Oct stipend still hanging, we are suffering here oh"
15,Uzairu Mukhtar,11/13/2019 18:36,N-Power Pay October stipend this is not fair
16,Kasim Suleiman,11/13/2019 18:35,"Good day Ma, today 13th November, October stipend yet to be paid to npower beneficiaries. Many depend on this salaries and yet it is not working"
17,Kamal makama,11/13/2019 18:24,"N-Power  You are using our stipend for gaining bank interest, we will continue criticism unless presidency is aware of negative attitude"
