,name,time,tweet
0,Kathy Hovey,2019-11-23 06:59:33, Trump Get back to YOUR business &amp; quit interfering with Navy legal affairs! This  is not about you. Quit ha… 
1,Anna ❛‿˂̵✧ *,2019-11-22 22:45:15,"       Sen. Merkley,… "
2,Clayton Burks,2019-11-22 19:39:19," J. Trump Jr.
Are you aware of the TicTok app that is controlled by the Chinese dictators? It is more popula… "
3,Kennedy Odoyo,2019-11-22 19:30:12,  Trump is a skunk in the American democratic psyche.Shame.
4,NITIN sharma,2019-11-22 19:23:15,We thank  j.trump sir MakeAmericaGreatAgain
5,denise staley,2019-11-22 14:38:46, Not true..at all .  Trump Jr.
6,Travis Hamilton,2019-11-22 12:34:09,"  You  j. Trump, have to deal with this situation very carefully to avoid a lo… "
7,Og max Tarkagan Umumbunda🇿🇲,2019-11-22 06:50:55,  trump
8,Steve Hallowell,2019-11-22 03:58:03,   Only one person needs to resign!   Trump!
9,weekender,2019-11-22 01:16:28, Trump will end up being the OJ Simpson of the White House. He may get away with Impeachment but he will be… 
10,PSS #GG33 #IstandwithTrump,2019-11-21 22:32:14,"Olympic champion, Cleveland native Harrison Dillard dies at 96 "
11,Mama Haig,2019-11-21 20:54:41, J. TRUMP YOU'RE A FUCKING)LIAR !!!!
12,TRUMP THE PITBULL,2019-11-21 20:13:35,4Congress what is vile and dangerous IS THE LYING AND THE CORRUPTION OF THE DEMOCRAT PARTY!ThankfulThursday… 
13,The Watcher,2019-11-21 15:13:29,"  j trump but you got caught donald, stop deceiving yourself."
14,ALLEN R. BEHN,2019-11-20 23:31:14, TRUMP...LACEY CHABERT;;; MERRY CHRISTMAS;;;HAVEU FORGIVEN ALL UR TRANSRESSORS  ASKK CHRIST YESHUA-JESUS INT… 
15,Texasbaglady👜🚫🛒,2019-11-20 23:26:29," J. Trump 

It sure seems you’re right about that Mr. President.  If she cared about the CITIZENS of our gre… "
16,April Parker,2019-11-20 22:11:18,"I will say what does irritate me about our Prez, he really should stop Tweeting insults about the witnesses. So far… "
17,Dia Hahn McAllister,2019-11-20 17:01:29," J Trump  Pelosi
It's not that people started out trying to reverse the Election outcome, it's that th… "
18,Ann Mears,2019-11-20 04:14:59," J. Trump
REPORT: Obama Blocked State Dept Attempt To Look Into Hunter Biden in 2015 "
19,kim sanders,2019-11-20 02:29:43," J Trump
David Jolly Absolutely Levels Today's Spineless Republicans |  "
20,Katherine Cliff,2019-11-20 01:26:05,"The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.  Trump."
21,Carl Wathne,2019-11-19 22:07:59," Trump Jr 
Junior, what military branch did you serve in?  Shame on you for your childish comments belittling a military 
person."
22,Keith Robert Engle,2019-11-19 21:33:46, J Trump the racist one!!!
23,Kristi Bridgeman,2019-11-19 18:52:37,  Call it what you want  Trump still broke the law and the American people want… 
24,Michelle🌊🌊🌊,2019-11-19 18:50:56, trump is weak and a danger to our country! RemoveTrumpNow 
25,Won Wilwin,2019-11-19 17:57:03,100 Twitter is doing alot of this.Yet I find it disturbing that when I reported  trump for obvious T… 
26,nancy a marotta,2019-11-19 05:52:45,"⁦⁩  Trump. Chris Wallace has always been a never Trumper! It is so obvious!
boycottChrisWallace… "
27,🍁🦃🍂RNcat🍂🦃🍁,2019-11-18 22:17:59,"    There was no quid pro quo. But let’s play your game. Technically, Bi… "
28,itbepolicy,2019-11-18 22:14:22,"    On Ukrainian meddling: 

... the media's gonna crash--good for them-… "
29,Ken Myers,2019-11-17 22:12:21,"Dear US Farmers, when  Trump is done playing President. You will need a farm-aid concert a month to bail you… "
30,CharleneJones17,2019-11-17 20:35:46,  .        trump
31,Priscilla Petgrave,2019-11-17 15:53:23," Every name,phrase or storyline that  has used in his opponents is exactly what he is.  Remember… "
32,Deplorable Hillbilly,2019-11-17 03:20:48, Trump Jr. spreading rumors about your Dad they need sued! 
33,lavene sweat,2019-11-16 23:11:11,"Field Report for November 17, 2019 Message To POTUS 45  j trump"
34,Lucas,2019-11-16 12:19:21,@_jvidz  trump  
35,Audrey Gillespie,2019-11-16 01:13:26, Trump Jr. While you are flapping your gums you continue to show a jackass!
36,Deanna,2019-11-15 23:03:08, Trump has emerged more popular after bombshell claims were made in his first public impeachment hearing.… 
37,Nat,2019-11-15 20:50:58,"3d  trump jr What do you know about they're family behind closed doors, NOTHING, you're trying to b… "
38,Tim Woffenden,2019-11-15 20:26:30,"3d  Trump Jr , sorry a hole George  has it right. Your whole family is a disgrace to Americans. No morals, no class."
39,Donna L,2019-11-15 19:06:44,  Trump Jr what’s next smear campaign of former ambassador
40,BDStiff,2019-11-15 15:43:42, trump.  It pretty sad that you are attacking a patriot of this country for 33 years .  How many have you se… 
41,Marie Stearns,2019-11-15 14:53:00,"     🇺🇸
I AM VOTING FOR a Republican U.S. Presiden… "
42,Sabrina K,2019-11-14 20:19:59,  Well it's not fake.  Tom Dutton now has proof and this last witness stated They were Concerned ab… 
43,Texasbaglady👜🚫🛒,2019-11-14 14:57:18, J. Trump                      It’s wrong and they’re (Dems) brainwashed into believing it’s all legal and o… 
