,name,time,tweet
0,yusphle,2019-12-04 12:52:18,eGIS class 
1,mpembee🦏,2019-12-03 12:50:14,I wish one day I will see you  
2,Tabuko - s w a a g,2019-12-03 10:26:30,"  If waste can be turned to wealth, then why are they asking us to pay to ""throway"" our dirty? ...… "
3,Best Garment technician with MSN,2019-12-03 10:04:12,_problemsolver Wait did we have a governor in  state 
4,LASEPA,2019-12-03 08:36:08,"The GM LASEPA, Dr. Dolapo Fasawe on Saturday represented the HC (MOE&amp;WR), Mr Tunji Bello at the LASUMBA Heritage Re… "
5,Adebayo Mabayoje,2019-12-02 19:28:27,"Just watched ""Air Quality Updates"" on . 🇳🇬 scores ""Poor"".

Poor air quality can cause short-term eye, nos… "
6,Shivam Manghnani 🇳🇬🇳🇬,2019-12-02 14:40:29,Why is it raining 
7,Nuel,2019-11-30 20:24:24,_ibrahim When is - railway line commencing? Our oil money will be one of the sources through w… 
8,Real Time Business services (automobiles),2019-11-30 20:24:02,A land containing 2 units of 3 bedrooms all master bedrooms. Located on a corner piece.5-8min walk from the junctio… 
9,OGBENI-ONI MOTOR,2019-11-30 18:48:25,"A land containing 2 units of 3 bedrooms all master bedrooms. 
Located on a corner piece. 5-8min walk from the junct… "
10,Austin,2019-11-29 09:53:46,  _josephine  Real pretty one
11,STP Design&Print,2019-11-29 09:37:10,"_co Shasha, akowonjo, egbeda is a no go area for bad roads. I congratulate , dat man made… "
12,ZEEZEE,2019-11-29 09:22:06,_janeu      _   T… 
13,Pinna Harcourt,2019-11-29 08:21:54,"4u   Na  picture dey the wall,  office location"
14,FAGBEMI MICHAEL A.,2019-11-29 08:08:27,",  ,  ,  etc are you ready?  We're ready  State. 

_ecofeminist… "
15,Lagos English Academy,2019-11-29 07:09:25,"🔹summary completion 
🔹sentence completion 
🔹short answer questions 
🔹table / flow chart completion
🔹diagram labelin… "
16,KenniiPeperempe,2019-11-28 19:57:35,THERE IS A BODY JUST AT THE BEGINNING OF THE THIRD MAINLAND BRIDGE COMING FROM LAGOS ISLAND. Very close to THE LAWM… 
17,Crazy Lagos Stories - CLS,2019-11-28 16:58:25,"The best way is to avoid coming to  at all.
1.Traffic these days sey hold bike ooo.
2.What of the time 3rd ma… "
18,Damian™,2019-11-28 10:13:02,"2006 Toyota Camry(Tokunbo)
@1.8million 
Location:  "
19,Aborisade Adetola,2019-11-27 23:23:01,_chi 767 _page  _Traffic   … 
20,Acholonu Chidinma,2019-11-27 23:18:00,1 767 _page  _Traffic   … 
21,Avoid Lagos Traffic,2019-11-27 17:38:02,"VIA 45695279: Lagos no far, Na holdup turn am journey. traffic city."
22,emiloju📸,2019-11-27 17:28:08,"Lagos no far,  Na holdup turn am journey.🚙🚕🚒🚑🚓🚗🚎🚐🚌🚛🏍🚲🏎🛵 traffic city.🔐"
23,MARIA CRISTINA,2019-11-26 15:31:56,
